"","�..id","booked","host_since","host_about","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_verifications","price","host_since_frm","days_since","email","social","phone","reviews"
"11",11392366,112,"21-10-2011","I recently graduated, I studied scenic design, theater and film. I am working for a renewable energy company. I volunteer for a design center.  I love to surf. I do a lot of sewing as a hobby. I have used Airbnb as a guest and have had great results and met wonderful people! Im excited I can return the favor and host my own guests.","within a few hours","94%","78%","f",1,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']","$ 45.00",2011-10-21,1953,1,1,1,1
"12",3781780,0,"03-08-2014","","within an hour","70%","100%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 45.00",2014-08-03,936,1,1,1,1
"13",7132603,0,"24-03-2014","We are three female roommates with a special knack for mixing drinks, preparing meals, making desserts and sharing our wonderful home. We take requests for all of the above and believe me, you should make them! We use our house, so expect to see us around. We are laid back and open to the needs of different guests, just communicate with us. Join us for a night on the town in Asheville or enjoy your privacy in our beautiful back yard.","within an hour","100%","100%","t",1,1,"['email', 'phone', 'reviews', 'jumio']","$ 80.00",2014-03-24,1068,1,1,1,1
"14",12245300,111,"30-10-2013","Musician and artist who likes to travel. I'll probably have my fiddle with me!","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 60.00",2013-10-30,1213,1,1,1,1
"15",10700627,110,"30-10-2015","Elizabeth Kirwin is the creator and founder of (URL HIDDEN) a website that gives insight into the fairy culture of the United States, a branch of neo-paganism that is on the rise.  Kirwin is a professional writer, performance artist and Organic SEO specialist.  Visit (URL HIDDEN) or email (EMAIL HIDDEN)","within a day","100%","N/A","f",1,1,"['email', 'phone', 'google', 'kba']","$ 57.00",2015-10-30,483,1,1,1,1
"16",3645277,0,"19-08-2013","Our family has lived in this beautiful home for six years and we've put a lot of love and energy into it. We enjoy hiking, working in our yard, and spending quality time with one another and our friends. We love to travel and during our most recent stay in an airbnb in Scotland, we decided to open our home to travelers. We look forward to meeting you!","within an hour","100%","95%","f",2,2,"['email', 'phone', 'google', 'reviews', 'kba']","$ 85.00",2013-08-19,1285,1,1,1,1
"17",9691595,0,"13-05-2012","Hi, I am an artist living in the Western North area of NC.   I enjoy sharing my home with others and introducing them to the beauty of these amazing mountains.  I love to travel, draw, paint and sculpt. I also love to swing dance. Look forward to meeting amazing people from around the world through airbnb!","within an hour","100%","87%","t",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 50.00",2012-05-13,1748,1,1,1,1
"18",1493307,0,"06-08-2013","I like to work hard and play hard. I am easy going. I love travel and love hosting travelers. I am a father of a beautiful 18 year old.","within an hour","100%","94%","t",2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 58.00",2013-08-06,1298,1,1,1,1
"19",4937473,0,"29-07-2014","I love living in Asheville!!! 
I am a generous, health conscious, independent gal who loves the outdoors- rivers, oceans and mountains! Asheville has been my home for 15 years- on and off- and I am 100% in love with my community here. I adore traveling yet equally love home and have worked hard to make mine comfortable for others- including you!!!","within a few hours","100%","40%","f",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 110.00",2014-07-29,941,1,1,1,1
"20",7712679,110,"08-08-2011","I have travel in my blood. I was born in Chateauroux, France. My sister was born in Germany and I learned to speak German when my family lived there for four years. Some of my favorites places include, Lagos de Atitlan, Uxmal, Merida, San Cristobal, Antigua, Ambergris Caye, Chichicastengo, Amsterdam, Vancouver, Cologne, Berlin and Prague. I prefer to travel off the ""gringo trail"" and have many more places to visit. Open to house trade.

I am a passionate student of compassionate communication (NVC). Two important things I've learned is that other people's behavior rarely has anything to do with me and that with patience and compassion, most all our needs can be met. 

For fun around here I have ridden a hot air balloon over our mountains, taken a mountain top zip line tour nearby, seen our ancient mountains during a flying lesson, rented a scooter and rode the blue ridge parkway, took a few archery lessons so I could pretend to be like Katniss from The Hunger Games, which was filmed nearby. I also enjoy sitting in the backyard watching my chickens do goofy things. What do you like to do for fun? Let me share more fun things to do in our beautiful mountains.","within an hour","100%","99%","f",6,6,"['email', 'phone', 'reviews', 'kba']","$ 65.00",2011-08-08,2027,1,1,1,1
"21",6054250,112,"28-02-2012","outgoing, sensitive, adventurous, trustworthy, healthy, loyal, responsible","within an hour","100%","100%","t",1,1,"['email', 'phone', 'manual_online', 'facebook', 'reviews', 'manual_offline']","$ 111.00",2012-02-28,1823,1,1,1,1
"22",6177422,0,"27-04-2015","After about a year of travelling, Katie and I decided to call Asheville our home in the spring of 2001.  We have really seen our small city grow and flourish.  Asheville continues to be an amazing place to live and raise a family.   As fellow travelers, we like to get a genuine feel for the places we visit and want for you to experience the best Asheville and the surrounding area has to offer.
Katie is a labor and delivery nurse and I have my own plumbing business. We have two kids, some dogs and some chickens. Life is good.","within an hour","100%","100%","t",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 125.00",2015-04-27,669,1,1,1,1
"23",612660,0,"24-07-2012","I have been here since 2007, and continue to fall more deeply in love with Asheville.  I adore my neighborhood, West Asheville.  It is super friendly and very community-oriented.  It truly has the charm of an old-fashioned neighborhood.","within an hour","100%","96%","t",3,3,"['email', 'phone', 'reviews', 'kba']","$ 105.00",2012-07-24,1676,1,1,1,1
"24",4764715,0,"01-09-2012","I love nature, gardening, yoga, cooking, travel, holistic health, movies, reading/learning, my cat, trees...","within an hour","100%","100%","t",1,1,"['email', 'phone', 'reviews', 'kba']","$ 88.00",2012-09-01,1637,1,1,1,1
"25",11284356,111,"16-02-2016","","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'google', 'linkedin', 'amex', 'reviews', 'kba']","$ 175.00",2016-02-16,374,1,1,1,1
"26",8282917,0,"08-02-2014","My husband Griff and I love to travel! One of our favorite things about traveling is all the people we meet, for this reason we love the idea of airbnb! We are new to the system, but we look forward to many wonderful stays and meeting some great people!","within an hour","100%","100%","t",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 96.00",2014-02-08,1112,1,1,1,1
"27",1785262,111,"21-03-2013","Asheville is really my favorite place I have ever experienced.  I lived in Colorado for nearly 16 years, but when I visited Asheville I knew that I had to move here. I love playing music, dancing and going out to the wine bar in downtown Asheville.  I'd love to  be your hostess and give you advice and tips on the great things to do, places to eat, and music to hear in this vibrant town. I also love nature and the outdoors, so being at the congruence of three ancient and beautiful mountain ranges, and easy driving distance to hikes, mountain peaks and water falls, is perfect for me!","within an hour","100%","96%","t",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 85.00",2013-03-21,1436,1,1,1,1
"28",11653712,0,"12-09-2014","","within a day","100%","78%","f",1,1,"['email', 'phone', 'reviews', 'kba']","$ 80.00",2014-09-12,896,1,1,1,1
"29",5131525,112,"08-08-2011","I have travel in my blood. I was born in Chateauroux, France. My sister was born in Germany and I learned to speak German when my family lived there for four years. Some of my favorites places include, Lagos de Atitlan, Uxmal, Merida, San Cristobal, Antigua, Ambergris Caye, Chichicastengo, Amsterdam, Vancouver, Cologne, Berlin and Prague. I prefer to travel off the ""gringo trail"" and have many more places to visit. Open to house trade.

I am a passionate student of compassionate communication (NVC). Two important things I've learned is that other people's behavior rarely has anything to do with me and that with patience and compassion, most all our needs can be met. 

For fun around here I have ridden a hot air balloon over our mountains, taken a mountain top zip line tour nearby, seen our ancient mountains during a flying lesson, rented a scooter and rode the blue ridge parkway, took a few archery lessons so I could pretend to be like Katniss from The Hunger Games, which was filmed nearby. I also enjoy sitting in the backyard watching my chickens do goofy things. What do you like to do for fun? Let me share more fun things to do in our beautiful mountains.","within an hour","100%","99%","f",6,6,"['email', 'phone', 'reviews', 'kba']","$ 101.00",2011-08-08,2027,1,1,1,1
"30",5354494,109,"14-02-2015","","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']","$ 99.00",2015-02-14,741,1,1,1,1
"31",12250733,111,"06-06-2013","","within an hour","100%","99%","t",2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 145.00",2013-06-06,1359,1,1,1,1
"32",3741771,4,"16-05-2012","We are from the Mountains of Western North Carolina. David is a contractor, specializing in GreenBuilding and Melissa is a Physician Assistant at a Family Practice. 
We to love travel, play outdoors with our dog and enjoy all the great restaurants Asheville has to offer.","within an hour","100%","100%","f",2,2,"['email', 'phone', 'google', 'linkedin', 'reviews', 'kba']","$ 115.00",2012-05-16,1745,1,1,1,1
"33",9756931,0,"24-05-2015","I am one of the few natives of Asheville NC and have lived here on and off my whole life. I live here now with my partner Jason and three year old daughter. I am a local hair stylist and my partner works in construction. We love the area and are enjoying the new growth and development of this little city. We have found it to be super child friendly place to live and lots of fun with great folks.
I personally enjoy yoga, swimming , dancing, art and being with friends and family.
We love to travel in the winter times. I have lived in Europe, Central America and recently just moved back here from the bay area California.","N/A","N/A","N/A","f",1,1,"['email', 'phone', 'reviews', 'kba']","$ 125.00",2015-05-24,642,1,1,1,1
"34",6480745,0,"24-04-2013","A resident of Asheville for over 22 years. 

I love the local food scene here. I am happy to recommend anything from a simple hike with amazing views, to the spots to hang like a local. 

Let me know if you have any questions I am happy to help!","within an hour","98%","99%","f",3,3,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 99.00",2013-04-24,1402,1,1,1,1
"35",4662490,112,"14-07-2014","I am a former attorney turned actor and entrepreneur.  I own a company called Shift Bars- we make the world's first raw vegan zero-sugar energy bar and launch in late 2015. I love eating awesome, healthy food, hiking, watching movies, dogs and much more.  I love living here and am so excited to share it with you!

Life motto- ""Life is not about finding yourself. Life is about creating yourself."" George Bernard Shaw","within a few hours","100%","100%","f",1,1,"['email', 'phone', 'linkedin', 'reviews', 'kba']","$ 99.00",2014-07-14,956,1,1,1,1
"36",4830661,110,"16-10-2013","","within a few hours","100%","83%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']","$ 120.00",2013-10-16,1227,1,1,1,1
"37",8895397,0,"17-06-2012","I am a hardworking girl looking to travel a bit more! I taught school for over 9 years. Since then I have been trying my hand at several fields to see what is the perfect fit for me. I want to be able to make a few changes to my house and would love the opportunity to travel more. I thought airbnb would be the perfect opportunity! I have family all over the place right now: a brother in Japan, sister in Colorado, and a cousin in San Fran--all places I'd love to visit! I love all things silly and quirky especially a good British Comedy or Tom Robbins novel. Much of the reason I moved to Asheville is for the incredible variety of cheap, delicious food and beer. There's always something to do around here whether it's catching a new independent film, tubing down the French Broad River or tasting a new micro-brew!","within an hour","100%","85%","t",1,1,"['email', 'phone', 'reviews']","$ 135.00",2012-06-17,1713,1,1,1,1
"38",1332684,0,"01-07-2012","My daughter Rosa and I share our West Asheville home with our indoor cat, Joey and our sweet dog, Fina.  We have been here for almost 10 years now.  We love to travel, camp, hike, and otherwise enjoy all that Western North Carolina offers.  I lived in Europe for two years and have subsequently traveled extensively, mostly in Central and South America.  I am a Spanish teacher and musician and love to work with children and adults.  I practice yoga, love to read, dance, eat out, and socialize, and feel fortunate to have wound up in this great city of Asheville with my fascinating and fabulous daughter.","within an hour","100%","100%","f",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 90.00",2012-07-01,1699,1,1,1,1
"39",2454666,0,"24-11-2013","I'm at home here in Asheville, the ""Friendly City"" where I get to enjoy the trails with my 2- and 4-legged friends, go out for fantastic meals, see touring music, try new brews every week, and appreciate art at every turn.  It's a great place to visit and I am happy to help with suggested sights!","within an hour","100%","100%","f",1,1,"['email', 'phone', 'reviews', 'kba']","$ 140.00",2013-11-24,1188,1,1,1,1
"40",6599654,0,"13-05-2012","Hi, I am an artist living in the Western North area of NC.   I enjoy sharing my home with others and introducing them to the beauty of these amazing mountains.  I love to travel, draw, paint and sculpt. I also love to swing dance. Look forward to meeting amazing people from around the world through airbnb!","within an hour","100%","87%","t",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 120.00",2012-05-13,1748,1,1,1,1
"41",2761822,112,"18-01-2013","About me: I enjoy mountain biking, flatwater kayaking, reading (mostly non-fiction/science/anthropology/psychology/history), photography, spending time with friends and family, and traveling internationally (30 countries so far, most recently in Panama, Morocco, and Poland).  

As an airbnb guest I'm clean, considerate, and respectful.  I like it best when I can spend a little time getting to know my host -- although this certainly isn't a necessity -- as I've met very interesting people this way.

As an airbnb host I want to make sure that my guests are very comfortable and that I'm giving them a great place to stay at a fair price.","within a few hours","90%","80%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']","$ 279.00",2013-01-18,1498,1,1,1,1
"42",8403131,0,"24-08-2014","","within a few hours","100%","96%","t",1,1,"['phone', 'reviews']","$ 260.00",2014-08-24,915,1,1,1,1
"43",1948744,0,"17-11-2013","My partner, Kevin, and I are avid Airbnb host and guest.  We love traveling and sharing our home in Asheville, NC with other travelers.  Through our adventures we have discovered just how beautiful this tiny little planet is.  We do our best to keep it that way.  We use all natural and homemade cleaning supplies, recycle, up-cycle, compost, grow our own, and share :) 
We have two big old dogs who have traveled almost everywhere with us.  They are respectful, calm, and adorable.
We are also interested in home swapping.","within a day","100%","71%","f",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 150.00",2013-11-17,1195,1,1,1,1
"44",12433546,112,"30-09-2015","Well hello! I'm Morgan and I'm a long-time resident of Asheville, NC. I love it here in the mountains but am always looking to get out of town on an adventure.

I'm an entrepreneur of sorts in that I started a tree service with my brother in 2009 and I also have been working as a wardrobe stylist since 2010. I love the variety of my work and how one day I'll be chipping brush and the next I'll be dressing the Avett Brothers- it really is a blast!

I'm somewhat of a quiet person though I do enjoy getting together with friends or taking myself out for a night on the town. When staying at someone's house, I am always conscientious of that person's life and am very respectful of everything in their home; I hope you feel the same way!

Looking forward to sharing my home with you,

-MP","within an hour","100%","100%","f",1,1,"['email', 'phone', 'google', 'reviews', 'kba']","$ 115.00",2015-09-30,513,1,1,1,1
"45",3984596,0,"19-08-2013","Our family has lived in this beautiful home for six years and we've put a lot of love and energy into it. We enjoy hiking, working in our yard, and spending quality time with one another and our friends. We love to travel and during our most recent stay in an airbnb in Scotland, we decided to open our home to travelers. We look forward to meeting you!","within an hour","100%","95%","f",2,2,"['email', 'phone', 'google', 'reviews', 'kba']","$ 350.00",2013-08-19,1285,1,1,1,1
"46",3574658,0,"12-07-2014","I am a hard working teacher. I like to walk, love to eat well and practice yoga. I love to read and learn and occasionally play some music or dabble in an artsy project. My partner and dog live here with me.","within a few hours","100%","72%","f",2,2,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']","$ 140.00",2014-07-12,958,1,1,1,1
"47",2843256,0,"15-07-2012","","within a few hours","100%","87%","f",1,1,"['email', 'phone', 'facebook', 'google', 'reviews']","$ 155.00",2012-07-15,1685,1,1,1,1
"48",9344195,0,"08-11-2015","Ken is originally from South Florida, and Patti is originally from Southern California.  Ken moved to the mountains in 1982 and Patti moved in 1992.  We are both retired, and have four children and seven grand children between us.  We love the Mountains but enjoy getting away to the ocean where we are advanced scuba divers.  We also enjoy traveling and meeting new people.  Most recently, we went to the Southwest to visit Sedona, AZ; Cortez, CO; Bryce Canyon and Zion National Park, UT; and the southern Alaska area.  Several of our pictures from this trip appear in the rental suite.  We look forward to having guests in our recently renovated space, and if you're really lucky and ask really nice (and are here long enough), you might get some North Carolina BBQ (Ken is an excellent BBQ chef and cook).","within an hour","100%","100%","f",1,1,"['email', 'phone', 'google', 'reviews', 'jumio']","$ 50.00",2015-11-08,474,1,1,1,1
"49",6015623,111,"14-04-2015","I love Asheville! I have lived here most of my life. I graduated from Warren Wilson College with a BA in Philosophy but also studied the ecosystem with time spent working in native plant restoration. I love helping people explore the area. I like the natural world. Trees, plants, minerals, animals, air, and sometimes fire.","within an hour","90%","100%","t",1,1,"['email', 'phone', 'reviews']","$ 82.00",2015-04-14,682,1,1,1,1
"50",3544255,0,"01-12-2012","We LOVE alternative dwellings and micro housing. We ourselves live in a  270 sq ft vintage camper with our three dogs. We have really been enjoying the opportunity to share our land with guests and have met so many amazing people through hosting on AIRBNB.   Together, Josh and I own two pieces of land in Asheville. One has just the yurt alone on it. Our other property is home to Bettie and also has several private campsites. It's nice to be able to offer people a range of options- from camping on the cheap to enjoying a luxurious stay in our yurt or restored vintage trailer! Joanna owns an environmentally conscious cleaning company in Asheville, Clean Green Asheville. Josh makes tactical gear like tourniquet holders and works out of his airstream shop. We are both very friendly and active people and we do all of the work on both properties ourselves :-)","within an hour","100%","84%","t",5,5,"['email', 'phone', 'reviews', 'jumio', 'kba']","$ 130.00",2012-12-01,1546,1,1,1,1
"51",6234618,111,"01-05-2015","It's hard to believe that I've lived in Asheville for 10 years,  it has felt like home since the moment I moved here. I am fortunate to have a job that I love, a home to share, and an amazing community of friends.  There are so many things to see and do in Asheville. A few of my favorite are  riding my mountain in Bent Creek,  enjoying a good glass of red wine at Sante or the Battery Park Book Exchange, floating down the french broad river, frequenting the never ending list of eateries, seeing a show at the Orange Peel or Grey Eagle, and  catching a movie at the Fine Arts Theatre or the Brew and View. Sometimes you'll find me just being plain ol' lazy because the one thing I can't live without is a good nights sleep! I also enjoy reading a good book and making jewelry.

I'm an easy going person that is dependable. As your host, I will do my best to make sure that you are comfortable and have everything you need to make your stay enjoyable.","within an hour","100%","100%","t",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 55.00",2015-05-01,665,1,1,1,1
"52",7995120,0,"20-06-2011","I'm an Asheville/WNC native.  I love hiking, mountain biking, fishing, camping and playing in our historic  and ancient mountains.   My vacation rental properties come with high speed internet, cable, Pandora, fully stocked kitchens, plenty of parking, DOG FRIENDLY and pretty much everything you will need to be able to relax and kick back.

My best friend Troy Pope and I are licensed NC Realtors and we can help you with vacation rentals as well as buying your new mountain home.

I look forward to sharing this area with you!","within an hour","100%","100%","f",7,7,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']","$ 235.00",2011-06-20,2076,1,1,1,1
"53",3889212,0,"07-12-2011","We are oriiginally from the northeast but have joined our two children and our grandchildren.  We live four hours away in Raleigh but visit often.  Can't get enough of those little ones.  We may or may not be in residence while you are here but are only a phone call away.","within an hour","100%","80%","f",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 80.00",2011-12-07,1906,1,1,1,1
"54",6741903,14,"13-08-2013","I am a full time, self-employed artist. My love for craft and art can be seen in my home- fine art, pottery, photography, sculpture. I have an affinity for cooking, growing things, building things, walking in the woods, and deep conversation.
I sell my artwork at craft shows across the country and discover amazing places along the way. But coming home to Asheville is always a blessing!
My space is welcoming, lovely, and quiet- but accessible to everything! I love my home and hope my guests will, as well.","within a few hours","100%","100%","t",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 280.00",2013-08-13,1291,1,1,1,1
"55",12144656,0,"09-09-2015","","N/A","N/A","N/A","f",1,1,"['email', 'phone', 'kba']","$ 175.00",2015-09-09,534,1,1,1,1
"56",597424,0,"04-01-2011","I'm a lover of nature and life!  My partner is a woodworker and carpenter, and loves the forest!  We love hosting folks to Asheville!","within an hour","100%","100%","f",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 120.00",2011-01-04,2243,1,1,1,1
"57",10335139,0,"03-01-2016","","within an hour","100%","67%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 205.00",2016-01-03,418,1,1,1,1
"58",12382183,0,"11-01-2013","I am a mom of two. I was a professional creative director until the birth of my two kids. They are my priority right now. I own my own home. Our house is a mid century modern, and our kids understand to be respectful of others property as well as of their own home. We live in the bay area. Piedmont - in Oakland. 

Thank you","a few days or more","33%","100%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 120.00",2013-01-11,1505,1,1,1,1
"59",9592262,0,"25-07-2012","We live in the beautiful mountains of Asheville, NC. Ali is an art therapist and loves being a witness and partner in the healing process. Dave is an entrepreneur and started his own company related to software testing. (Dave can pretty much do anything related to computers). We are pretty active and like to seek out hiking/biking/walking paths. And, we love to eat. Eating and drinking like locals is our most favorite fun way to get to know a new area. Our overseas adventures include Singapore, Malaysia, India, Costa Rica, and Argentina. We've had many memorable stays using airbnb and love the community feel of this way of travel.","within a few hours","100%","55%","f",1,1,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']","$ 135.00",2012-07-25,1675,1,1,1,1
"60",6214161,112,"04-07-2012","","within an hour","100%","38%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 95.00",2012-07-04,1696,1,1,1,1
"61",8051829,111,"25-08-2015","We (my future husband, Jason, and our two dogs Harley and Wheat Thin) bought our house in April 2015 and are working hard on getting it to be a beautiful and cozy place to live. That's why we do Airbnb! So we can afford to make more improvements!  

We're a pretty chill household. We like to cook and watch movies. We also love rugby! After playing for 10 years, I have retired, but Jason still plays for Asheville. 

My favorite movie: Frida
Jason's favorite movie: Jaws 
Wheat Thin's favorite movie: The Muppets (because he is one)","within a day","100%","100%","t",1,1,"['email', 'phone', 'reviews']","$ 65.00",2015-08-25,549,1,1,1,1
"62",8362668,112,"30-10-2014","Hello friends! 

I began traveling abroad at 18 and have traveled much of Latin America and the USA.  I'm fluent in Spanish and I'm studying Brazilian Portuguese and French.  Throughout my travels I've learned the importance and value of being a welcoming and obliging host, and the merits of being a humble and grateful guest.  It is my aim while hosting to provide my guests with a superb experience.  Whether you're looking for a brewery tour, exquisite culinary outing, or a peaceful waterfall hike, I'm happy to point you in the right direction!","within an hour","100%","96%","t",1,1,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']","$ 50.00",2014-10-30,848,1,1,1,1
"63",3455514,3,"28-06-2014","I love to travel and have so far, enjoyed hosting.  My interests include the outdoors, anything physical, reading, cooking, trying different beers and gardening (often times the last two combined).  I'm in and out of my house a lot.  I'm easy to get along with and will do what I can to make sure my guests have a great experience in Asheville.","within an hour","100%","94%","t",1,1,"['email', 'phone', 'reviews', 'kba']","$ 50.00",2014-06-28,972,1,1,1,1
"64",6776511,0,"10-06-2015","Divorced mother of 2. After 17 yrs of marriage I am on my own again.  I have a wonderful job at the Hospital, but still need to make ends meet.  therefore I have come to Airbnb to offer a space for people traveling and need a safe environment to sleep as well as I do.  I enjoy my kids, shopping, walking my dog Cody, cooking and just hanging out with friends.","within an hour","100%","N/A","f",1,1,"['email', 'phone', 'reviews', 'jumio', 'kba']","$ 40.00",2015-06-10,625,1,1,1,1
"65",8246075,112,"24-04-2013","I love to travel all over the world and meet people from all walks of life.  I am a Bicycle Tour Guide where I guide road bike tours all over the USA and some abroad. I also own a small handcrafted soap company.

If you are coming to hike or ride bikes I have safe storage for your bikes and I am happy to tell you about wonderful routes both road and mountain. I have lived in Asheville since 1999. Previously I lived in Delaware, Lancaster PA and Alaska.","within an hour","100%","100%","f",1,1,"['email', 'phone', 'reviews', 'kba']","$ 85.00",2013-04-24,1402,1,1,1,1
